cancer_type,model,accuracy,mean_prob,n_samples,n_valid
Colorectal Cancer,gpt-5,73.70786516853933,0.7800106741573033,1780,1780
Colorectal Cancer,o3-mini,70.33707865168539,0.623308988764045,1780,1780
Colorectal Cancer,gpt-4o,64.32584269662921,0.7644157303370785,1780,1780
Colorectal Cancer,medgemma,56.12359550561797,0.9328089887640447,1780,1780
Colorectal Cancer,qwen3,52.92134831460674,0.9228426966292134,1780,1780
Colorectal Cancer,claude-sonnet-37,68.48314606741573,0.8075224719101123,1780,1780
Colorectal Cancer,claude-sonnet-45,60.449438202247194,0.577808988764045,1780,1780
Colorectal Cancer,claude-opus-45,68.65168539325842,0.5583089887640448,1780,1780
Colorectal Cancer,deepseek,55.0561797752809,0.8868595505617975,1780,1780
Colorectal Cancer,deepseek-r1,63.31460674157303,0.6655842696629214,1780,1780
Colorectal Cancer,qwen3-vl-235b-a22b,59.157303370786515,0.7233258426966293,1780,1780
Colorectal Cancer,AlphaMissense,84.71910112359551,0.905291797752809,1780,1780
Endometrial Cancer,gpt-5,73.97260273972603,0.7794324853228963,1533,1533
Endometrial Cancer,o3-mini,68.0365296803653,0.6820678408349641,1533,1533
Endometrial Cancer,gpt-4o,62.75277234181343,0.7743313763861709,1533,1533
Endometrial Cancer,medgemma,58.18656229615134,0.9395629484670579,1533,1533
Endometrial Cancer,qwen3,55.57729941291585,0.9223287671232876,1533,1533
Endometrial Cancer,claude-sonnet-37,68.0365296803653,0.8015851272015655,1533,1533
Endometrial Cancer,claude-sonnet-45,60.46966731898239,0.6451859099804305,1533,1533
Endometrial Cancer,claude-opus-45,68.81930854533594,0.6082974559686888,1533,1533
Endometrial Cancer,deepseek,55.70776255707762,0.8972276581865621,1533,1533
Endometrial Cancer,deepseek-r1,63.14416177429876,0.721545988258317,1533,1533
Endometrial Cancer,qwen3-vl-235b-a22b,60.79582517938682,0.7513046314416177,1533,1533
Endometrial Cancer,AlphaMissense,85.2576647097195,0.901891911285062,1533,1533
Non-Small Cell Lung Cancer,gpt-5,70.70015220700152,0.8066887366818873,1314,1314
Non-Small Cell Lung Cancer,o3-mini,73.43987823439878,0.6377701674277017,1314,1314
Non-Small Cell Lung Cancer,gpt-4o,67.27549467275495,0.7888888888888889,1314,1314
Non-Small Cell Lung Cancer,medgemma,66.89497716894978,0.9465753424657533,1314,1314
Non-Small Cell Lung Cancer,qwen3,69.10197869101978,0.9141324200913242,1314,1314
Non-Small Cell Lung Cancer,claude-sonnet-37,68.64535768645358,0.8165981735159819,1314,1314
Non-Small Cell Lung Cancer,claude-sonnet-45,62.86149162861492,0.6457990867579908,1314,1314
Non-Small Cell Lung Cancer,claude-opus-45,69.3302891933029,0.6102511415525114,1314,1314
Non-Small Cell Lung Cancer,deepseek,68.94977168949772,0.9084322678843225,1314,1314
Non-Small Cell Lung Cancer,deepseek-r1,66.43835616438356,0.6755022831050228,1314,1314
Non-Small Cell Lung Cancer,qwen3-vl-235b-a22b,67.73211567732116,0.712800608828006,1314,1314
Non-Small Cell Lung Cancer,AlphaMissense,84.24657534246576,0.9137674277016743,1314,1314
Bladder Cancer,gpt-5,74.44987775061125,0.7829217603911981,818,818
Bladder Cancer,o3-mini,75.42787286063569,0.6857334963325185,818,818
Bladder Cancer,gpt-4o,64.91442542787286,0.7761124694376528,818,818
Bladder Cancer,medgemma,62.59168704156479,0.9355745721271391,818,818
Bladder Cancer,qwen3,63.56968215158925,0.9227872860635696,818,818
Bladder Cancer,claude-sonnet-37,71.88264058679707,0.8133129584352078,818,818
Bladder Cancer,claude-sonnet-45,65.6479217603912,0.6627750611246943,818,818
Bladder Cancer,claude-opus-45,74.32762836185819,0.6300122249388752,818,818
Bladder Cancer,deepseek,63.325183374083124,0.8817848410757942,818,818
Bladder Cancer,deepseek-r1,68.33740831295843,0.7089486552567237,818,818
Bladder Cancer,qwen3-vl-235b-a22b,66.13691931540342,0.7723471882640587,818,818
Bladder Cancer,AlphaMissense,83.37408312958435,0.9062614914425429,818,818
Breast Cancer,gpt-5,77.54237288135593,0.8062005649717514,708,708
Breast Cancer,o3-mini,72.31638418079096,0.7179943502824858,708,708
Breast Cancer,gpt-4o,63.84180790960452,0.7807062146892656,708,708
Breast Cancer,medgemma,63.983050847457626,0.9367231638418078,708,708
Breast Cancer,qwen3,65.81920903954803,0.918686440677966,708,708
Breast Cancer,claude-sonnet-37,71.32768361581921,0.8258192090395481,708,708
Breast Cancer,claude-sonnet-45,64.68926553672316,0.653771186440678,708,708
Breast Cancer,claude-opus-45,76.41242937853107,0.6543361581920903,708,708
Breast Cancer,deepseek,65.96045197740112,0.8903954802259885,708,708
Breast Cancer,deepseek-r1,66.38418079096046,0.7116525423728813,708,708
Breast Cancer,qwen3-vl-235b-a22b,65.5367231638418,0.7368220338983051,708,708
Breast Cancer,AlphaMissense,86.15819209039547,0.9128084745762711,708,708
Melanoma,gpt-5,71.74603174603175,0.7992539682539682,630,630
Melanoma,o3-mini,70.47619047619048,0.6724444444444444,630,630
Melanoma,gpt-4o,63.8095238095238,0.7823492063492063,630,630
Melanoma,medgemma,60.952380952380956,0.9452380952380952,630,630
Melanoma,qwen3,59.84126984126984,0.9165396825396824,630,630
Melanoma,claude-sonnet-37,68.57142857142857,0.8111587301587302,630,630
Melanoma,claude-sonnet-45,62.857142857142854,0.555936507936508,630,630
Melanoma,claude-opus-45,70.47619047619048,0.5801428571428571,630,630
Melanoma,deepseek,60.476190476190474,0.8899999999999999,630,630
Melanoma,deepseek-r1,61.26984126984127,0.6455714285714286,630,630
Melanoma,qwen3-vl-235b-a22b,64.76190476190476,0.7049047619047619,630,630
Melanoma,AlphaMissense,82.06349206349206,0.9143403174603175,630,630
Esophagogastric Cancer,gpt-5,78.24620573355818,0.7962563237774031,593,593
Esophagogastric Cancer,o3-mini,73.86172006745363,0.6946205733558178,593,593
Esophagogastric Cancer,gpt-4o,72.17537942664418,0.7956323777403035,593,593
Esophagogastric Cancer,medgemma,62.563237774030355,0.944097807757167,593,593
Esophagogastric Cancer,qwen3,59.359190556492415,0.9278246205733557,593,593
Esophagogastric Cancer,claude-sonnet-37,72.68128161888701,0.8207419898819562,593,593
Esophagogastric Cancer,claude-sonnet-45,69.13996627318718,0.6648566610455312,593,593
Esophagogastric Cancer,claude-opus-45,76.22259696458684,0.6214839797639122,593,593
Esophagogastric Cancer,deepseek,61.38279932546374,0.8784991568296795,593,593
Esophagogastric Cancer,deepseek-r1,68.8026981450253,0.727689713322091,593,593
Esophagogastric Cancer,qwen3-vl-235b-a22b,65.26138279932546,0.7661382799325465,593,593
Esophagogastric Cancer,AlphaMissense,86.6779089376054,0.9183404721753795,593,593
Cancer of Unknown Primary,gpt-5,77.95138888888889,0.8007291666666667,576,576
Cancer of Unknown Primary,o3-mini,74.13194444444444,0.7232638888888889,576,576
Cancer of Unknown Primary,gpt-4o,71.875,0.7946701388888888,576,576
Cancer of Unknown Primary,medgemma,65.97222222222221,0.9244791666666666,576,576
Cancer of Unknown Primary,qwen3,65.97222222222221,0.9202083333333335,576,576
Cancer of Unknown Primary,claude-sonnet-37,72.91666666666666,0.8373263888888889,576,576
Cancer of Unknown Primary,claude-sonnet-45,69.79166666666666,0.7049305555555555,576,576
Cancer of Unknown Primary,claude-opus-45,76.21527777777779,0.6700347222222223,576,576
Cancer of Unknown Primary,deepseek,65.79861111111111,0.8855902777777777,576,576
Cancer of Unknown Primary,deepseek-r1,71.35416666666666,0.7376736111111111,576,576
Cancer of Unknown Primary,qwen3-vl-235b-a22b,68.75,0.7500868055555555,576,576
Cancer of Unknown Primary,AlphaMissense,85.41666666666666,0.9095574652777779,576,576
Prostate Cancer,gpt-5,79.36802973977694,0.8014869888475835,538,538
Prostate Cancer,o3-mini,73.42007434944237,0.6839405204460967,538,538
Prostate Cancer,gpt-4o,69.14498141263941,0.7705204460966542,538,538
Prostate Cancer,medgemma,64.86988847583643,0.9325278810408921,538,538
Prostate Cancer,qwen3,58.921933085501855,0.8900371747211897,538,538
Prostate Cancer,claude-sonnet-37,71.37546468401487,0.8355018587360595,538,538
Prostate Cancer,claude-sonnet-45,66.54275092936803,0.6502230483271374,538,538
Prostate Cancer,claude-opus-45,75.8364312267658,0.6403717472118958,538,538
Prostate Cancer,deepseek,60.594795539033456,0.8905204460966543,538,538
Prostate Cancer,deepseek-r1,69.70260223048327,0.686895910780669,538,538
Prostate Cancer,qwen3-vl-235b-a22b,65.79925650557621,0.7149442379182156,538,538
Prostate Cancer,AlphaMissense,86.43122676579925,0.9114802973977695,538,538
Mature B-Cell Neoplasms,gpt-5,74.26778242677824,0.8260460251046026,478,478
Mature B-Cell Neoplasms,o3-mini,79.2887029288703,0.7552092050209205,478,478
Mature B-Cell Neoplasms,gpt-4o,71.33891213389121,0.7947280334728033,478,478
Mature B-Cell Neoplasms,medgemma,72.17573221757321,0.9359832635983261,478,478
Mature B-Cell Neoplasms,qwen3,75.73221757322176,0.9289121338912133,478,478
Mature B-Cell Neoplasms,claude-sonnet-37,76.98744769874477,0.8309623430962343,478,478
Mature B-Cell Neoplasms,claude-sonnet-45,69.6652719665272,0.7045188284518827,478,478
Mature B-Cell Neoplasms,claude-opus-45,78.8702928870293,0.6869874476987446,478,478
Mature B-Cell Neoplasms,deepseek,75.94142259414227,0.9006276150627612,478,478
Mature B-Cell Neoplasms,deepseek-r1,74.05857740585773,0.7421966527196653,478,478
Mature B-Cell Neoplasms,qwen3-vl-235b-a22b,73.84937238493724,0.7348535564853557,478,478
Mature B-Cell Neoplasms,AlphaMissense,86.82008368200836,0.9240799163179916,478,478
Pancreatic Cancer,gpt-5,78.70813397129187,0.8088277511961722,418,418
Pancreatic Cancer,o3-mini,76.79425837320574,0.7202153110047845,418,418
Pancreatic Cancer,gpt-4o,73.92344497607655,0.8129665071770333,418,418
Pancreatic Cancer,medgemma,67.94258373205741,0.9373205741626792,418,418
Pancreatic Cancer,qwen3,70.33492822966507,0.9328947368421051,418,418
Pancreatic Cancer,claude-sonnet-37,72.24880382775119,0.8388755980861243,418,418
Pancreatic Cancer,claude-sonnet-45,71.29186602870813,0.7050239234449759,418,418
Pancreatic Cancer,claude-opus-45,77.51196172248804,0.6774641148325358,418,418
Pancreatic Cancer,deepseek,70.33492822966507,0.9126794258373203,418,418
Pancreatic Cancer,deepseek-r1,72.96650717703349,0.7324401913875598,418,418
Pancreatic Cancer,qwen3-vl-235b-a22b,71.05263157894737,0.805,418,418
Pancreatic Cancer,AlphaMissense,89.23444976076556,0.9202495215311004,418,418
Ovarian Cancer,gpt-5,80.34682080924856,0.8191907514450867,346,346
Ovarian Cancer,o3-mini,76.30057803468208,0.7351156069364162,346,346
Ovarian Cancer,gpt-4o,71.09826589595376,0.8019075144508669,346,346
Ovarian Cancer,medgemma,67.91907514450867,0.9395953757225434,346,346
Ovarian Cancer,qwen3,70.52023121387283,0.9312716763005779,346,346
Ovarian Cancer,claude-sonnet-37,74.85549132947978,0.843034682080925,346,346
Ovarian Cancer,claude-sonnet-45,70.8092485549133,0.6991040462427746,346,346
Ovarian Cancer,claude-opus-45,79.1907514450867,0.6814739884393063,346,346
Ovarian Cancer,deepseek,70.23121387283237,0.8971098265895951,346,346
Ovarian Cancer,deepseek-r1,76.58959537572254,0.7768786127167628,346,346
Ovarian Cancer,qwen3-vl-235b-a22b,73.69942196531792,0.7990462427745664,346,346
Ovarian Cancer,AlphaMissense,90.17341040462428,0.9223173410404625,346,346
Soft Tissue Sarcoma,gpt-5,82.56578947368422,0.8187828947368421,304,304
Soft Tissue Sarcoma,o3-mini,78.61842105263158,0.7293750000000001,304,304
Soft Tissue Sarcoma,gpt-4o,73.02631578947368,0.7938157894736841,304,304
Soft Tissue Sarcoma,medgemma,63.81578947368421,0.9411184210526317,304,304
Soft Tissue Sarcoma,qwen3,63.81578947368421,0.9356578947368419,304,304
Soft Tissue Sarcoma,claude-sonnet-37,76.64473684210526,0.8376315789473684,304,304
Soft Tissue Sarcoma,claude-sonnet-45,72.69736842105263,0.7080263157894736,304,304
Soft Tissue Sarcoma,claude-opus-45,78.94736842105263,0.6638486842105262,304,304
Soft Tissue Sarcoma,deepseek,63.81578947368421,0.9046052631578947,304,304
Soft Tissue Sarcoma,deepseek-r1,76.64473684210526,0.6898026315789473,304,304
Soft Tissue Sarcoma,qwen3-vl-235b-a22b,67.10526315789474,0.7634210526315789,304,304
Soft Tissue Sarcoma,AlphaMissense,87.82894736842105,0.9132171052631579,304,304
Hepatobiliary Cancer,gpt-5,83.50515463917526,0.8388659793814432,291,291
Hepatobiliary Cancer,o3-mini,80.06872852233677,0.7865979381443298,291,291
Hepatobiliary Cancer,gpt-4o,79.72508591065292,0.8223367697594502,291,291
Hepatobiliary Cancer,medgemma,72.85223367697594,0.9438144329896908,291,291
Hepatobiliary Cancer,qwen3,76.6323024054983,0.93680412371134,291,291
Hepatobiliary Cancer,claude-sonnet-37,79.72508591065292,0.8582474226804123,291,291
Hepatobiliary Cancer,claude-sonnet-45,79.03780068728523,0.7593814432989691,291,291
Hepatobiliary Cancer,claude-opus-45,81.78694158075601,0.7291065292096219,291,291
Hepatobiliary Cancer,deepseek,75.25773195876289,0.9118556701030929,291,291
Hepatobiliary Cancer,deepseek-r1,76.28865979381443,0.7773883161512029,291,291
Hepatobiliary Cancer,qwen3-vl-235b-a22b,79.72508591065292,0.8238144329896907,291,291
Hepatobiliary Cancer,AlphaMissense,89.00343642611683,0.9285903780068727,291,291
Glioma,gpt-5,81.40350877192982,0.8072280701754386,285,285
Glioma,o3-mini,79.2982456140351,0.7183859649122807,285,285
Glioma,gpt-4o,77.89473684210526,0.8137543859649122,285,285
Glioma,medgemma,76.14035087719299,0.934561403508772,285,285
Glioma,qwen3,72.98245614035088,0.9198596491228069,285,285
Glioma,claude-sonnet-37,79.2982456140351,0.845438596491228,285,285
Glioma,claude-sonnet-45,71.57894736842105,0.6785614035087719,285,285
Glioma,claude-opus-45,75.43859649122807,0.6886666666666666,285,285
Glioma,deepseek,72.63157894736842,0.9008771929824562,285,285
Glioma,deepseek-r1,74.03508771929825,0.7344561403508771,285,285
Glioma,qwen3-vl-235b-a22b,75.78947368421053,0.7704912280701754,285,285
Glioma,AlphaMissense,90.87719298245615,0.9295217543859652,285,285
