cancer_type,model,f1,mean_prob,n_samples,n_valid
Colorectal Cancer,gpt-5,0.6972833117723156,0.7800106741573033,1780,1780
Colorectal Cancer,o3-mini,0.7303370786516854,0.623308988764045,1780,1780
Colorectal Cancer,gpt-4o,0.6226975638740344,0.7644157303370785,1780,1780
Colorectal Cancer,medgemma,0.6692079627276578,0.9328089887640447,1780,1780
Colorectal Cancer,qwen3,0.6907749077490775,0.9228426966292134,1780,1780
Colorectal Cancer,claude-sonnet-37,0.7014369345396487,0.8075224719101123,1780,1780
Colorectal Cancer,claude-sonnet-45,0.5940023068050749,0.577808988764045,1780,1780
Colorectal Cancer,claude-opus-45,0.6605839416058394,0.5583089887640448,1780,1780
Colorectal Cancer,deepseek,0.6981132075471698,0.8868595505617975,1780,1780
Colorectal Cancer,deepseek-r1,0.6710327455919396,0.6655842696629214,1780,1780
Colorectal Cancer,qwen3-vl-235b-a22b,0.6867729426971133,0.7233258426966293,1780,1780
Colorectal Cancer,AlphaMissense,0.853448275862069,0.905291797752809,1780,1780
Endometrial Cancer,gpt-5,0.718816067653277,0.7794324853228963,1533,1533
Endometrial Cancer,o3-mini,0.7437238493723849,0.6820678408349641,1533,1533
Endometrial Cancer,gpt-4o,0.6473131562693021,0.7743313763861709,1533,1533
Endometrial Cancer,medgemma,0.6989196806012212,0.9395629484670579,1533,1533
Endometrial Cancer,qwen3,0.7137452711223203,0.9223287671232876,1533,1533
Endometrial Cancer,claude-sonnet-37,0.6997549019607843,0.8015851272015655,1533,1533
Endometrial Cancer,claude-sonnet-45,0.6435294117647059,0.6451859099804305,1533,1533
Endometrial Cancer,claude-opus-45,0.7103030303030303,0.6082974559686888,1533,1533
Endometrial Cancer,deepseek,0.7153039832285115,0.8972276581865621,1533,1533
Endometrial Cancer,deepseek-r1,0.7176411794102948,0.721545988258317,1533,1533
Endometrial Cancer,qwen3-vl-235b-a22b,0.7142177841179268,0.7513046314416177,1533,1533
Endometrial Cancer,AlphaMissense,0.8670588235294118,0.901891911285062,1533,1533
Non-Small Cell Lung Cancer,gpt-5,0.7438456420492349,0.8066887366818873,1314,1314
Non-Small Cell Lung Cancer,o3-mini,0.7962638645650905,0.6377701674277017,1314,1314
Non-Small Cell Lung Cancer,gpt-4o,0.7406513872135102,0.7888888888888889,1314,1314
