model,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,n_samples
gpt-5,0.7747252747252747,0.7760299243862754,0.8051835129749241,0.7695094155679842,0.8245349349970463,0.7747252747252747,0.7802294735793157,13468
o3-mini,0.752079002079002,0.7271505901084029,0.7072696617421932,0.7143086449176801,0.7455878738465157,0.752079002079002,0.7464254035902846,13468
gpt-4o,0.6938669438669439,0.6750618883055632,0.6894569866716187,0.6771689994808583,0.7149723120352213,0.6938669438669439,0.6998690453259971,13468
medgemma,0.659043659043659,0.6001607757312916,0.558889693639174,0.547356819456187,0.6267654118112285,0.659043659043659,0.6168731124370889,13468
qwen3,0.6537719037719038,0.5581098929094401,0.5026251320588065,0.4080750206215189,0.5883097877715553,0.6537719037719038,0.5259823412897455,13468
claude-sonnet-37,0.7311404811404811,0.7038138096843503,0.7076225337969111,0.7055418244746714,0.733932459748757,0.7311404811404811,0.7323846364506048,13468
claude-sonnet-45,0.6773091773091773,0.6528225356920185,0.6624428655473593,0.6552609567982055,0.6913279645794239,0.6773091773091773,0.6822159744751541,13468
claude-opus-45,0.7514107514107514,0.7332726179209501,0.7519406012362421,0.7374276061776062,0.7700792396809562,0.7514107514107514,0.7561617814513567,13468
deepseek,0.6583754083754084,0.6574204079374192,0.5083243863654452,0.4182260195189086,0.6577229967232804,0.6583754083754084,0.5337908011204878,13468
deepseek-r1,0.6991386991386992,0.6631060136556717,0.6495207552749398,0.6539683057413034,0.6900528711181944,0.6991386991386992,0.6926221319038098,13468
qwen3-vl-235b-a22b,0.682952182952183,0.6416079254976688,0.5957829156087657,0.5949366410999668,0.6621224021469296,0.682952182952183,0.6533145825259987,13468
AlphaMissense,0.866052866052866,0.8510936784241869,0.8540276180414568,0.8525180285829195,0.8666817808480657,0.866052866052866,0.866331524471365,13468
