model,accuracy,precision,recall,f1_score,n_samples,n_classes
gpt-5,0.7747252747252747,0.9329140461215933,0.7066696914700544,0.8041822641022331,13468,2
o3-mini,0.752079002079002,0.7867839564352288,0.8522005444646098,0.8181867683092839,13468,2
gpt-4o,0.6938669438669439,0.804147764095917,0.7037205081669692,0.750589800979977,13468,2
medgemma,0.659043659043659,0.6862105448774467,0.8828266787658802,0.7721996229784701,13468,2
qwen3,0.6537719037719038,0.6557881311426214,0.9914927404718693,0.7894332806502596,13468,2
claude-sonnet-37,0.7311404811404811,0.8012292705554911,0.7836887477313974,0.7923619473593669,13468,2
claude-sonnet-45,0.6773091773091773,0.7773641102010425,0.7105263157894737,0.7424439966812848,13468,2
claude-opus-45,0.7514107514107514,0.852319587628866,0.7502268602540835,0.7980212355212355,13468,2
deepseek,0.6583754083754084,0.6583990980834273,0.9936479128856625,0.7920075945933728,13468,2
deepseek-r1,0.6991386991386992,0.7502626602227359,0.8100045372050817,0.7789898549143668,13468,2
qwen3-vl-235b-a22b,0.682952182952183,0.7079597438243367,0.8777223230490018,0.7837536716296971,13468,2
AlphaMissense,0.866052866052866,0.9015116811726981,0.8929219600725953,0.897196261682243,13468,2
