cancer_type,model,accuracy,mean_prob,n_samples,n_valid
Non-Small Cell Lung Cancer,GDD-ENS,65.90026723138203,0.7234104169817981,19833,19833
Non-Small Cell Lung Cancer,gpt-5,48.36383804769828,0.6651041193969647,19833,19833
Non-Small Cell Lung Cancer,gpt-4o,29.696230823935792,0.7059381286193234,19833,19686
Non-Small Cell Lung Cancer,o3-mini,40.835980436646,0.8133555185801441,19833,19833
Non-Small Cell Lung Cancer,medgemma,24.418897796601623,0.7829249231079514,19833,19833
Non-Small Cell Lung Cancer,qwen3,21.663906812082452,0.8874675955004853,19833,17513
Non-Small Cell Lung Cancer,qwen3-vl-235b-a22b,24.33822417183482,0.7269908737961982,19833,19833
Non-Small Cell Lung Cancer,deepseek,13.143565690872824,0.768488867324384,19833,18549
Non-Small Cell Lung Cancer,deepseek-r1,41.13850652952151,0.6909085866989362,19833,19833
Non-Small Cell Lung Cancer,claude-sonnet-37,40.2561387586346,0.6878644546417226,19833,19833
Non-Small Cell Lung Cancer,claude-sonnet-45,35.163616195230176,0.6755146650512394,19833,19833
Non-Small Cell Lung Cancer,claude-opus-45,47.22432309786719,0.5446774274905423,19833,19833
Colorectal Cancer,GDD-ENS,64.4133994291723,0.7553291722998348,13314,13314
Colorectal Cancer,gpt-5,72.57022682890191,0.7382972810575334,13314,13314
Colorectal Cancer,gpt-4o,61.54488200925715,0.750330829349723,13314,13179
Colorectal Cancer,o3-mini,69.731110109659,0.8551472134595162,13314,13314
Colorectal Cancer,medgemma,44.532071503680335,0.8162235241099592,13314,13314
Colorectal Cancer,qwen3,34.7025143141648,0.8966691560866318,13314,12051
Colorectal Cancer,qwen3-vl-235b-a22b,65.86300135196034,0.7751239296980622,13314,13314
Colorectal Cancer,deepseek,47.1775821691028,0.771783897278527,13314,12383
Colorectal Cancer,deepseek-r1,70.09914375844976,0.7233145561063542,13314,13314
Colorectal Cancer,claude-sonnet-37,73.05843473035902,0.7543896025843286,13314,13314
Colorectal Cancer,claude-sonnet-45,73.57668619498273,0.7597220135236663,13314,13314
Colorectal Cancer,claude-opus-45,75.01126633618748,0.6267177637511272,13314,13314
Glioma,GDD-ENS,55.46218487394958,0.6970187045604759,10591,10591
Glioma,gpt-5,53.93258426966292,0.7035303559626098,10591,10591
Glioma,gpt-4o,36.87828162291169,0.729127446300716,10591,10475
Glioma,o3-mini,46.17127749976395,0.8437465772825984,10591,10591
Glioma,medgemma,1.8978377868001135,0.7756208101218016,10591,10591
Glioma,qwen3,43.28640470687119,0.9018281151502416,10591,9518
Glioma,qwen3-vl-235b-a22b,26.267585685959776,0.7468152204702105,10591,10591
Glioma,deepseek,16.787353391126977,0.775135135135135,10591,9805
Glioma,deepseek-r1,33.2452081956378,0.7315475403644605,10591,10591
Glioma,claude-sonnet-37,49.032197148522336,0.7319346615050515,10591,10591
Glioma,claude-sonnet-45,54.886224152582386,0.7391262411347518,10591,10591
Glioma,claude-opus-45,50.31630629780002,0.564092970521542,10591,10591
Breast Cancer,GDD-ENS,68.27697262479872,0.7193322966988728,9936,9936
Breast Cancer,gpt-5,57.578502415458935,0.6618216586151369,9936,9936
Breast Cancer,gpt-4o,80.99382653577572,0.755422528084202,9936,9881
Breast Cancer,o3-mini,75.2415458937198,0.834121376811594,9936,9936
Breast Cancer,medgemma,35.49718196457327,0.8207125603864733,9936,9936
Breast Cancer,qwen3,34.19857235561324,0.9039097988319272,9936,9246
Breast Cancer,qwen3-vl-235b-a22b,58.92713365539453,0.7685889694041868,9936,9936
Breast Cancer,deepseek,60.452450775031416,0.8382069543359865,9936,9548
Breast Cancer,deepseek-r1,50.34219001610306,0.7053240740740742,9936,9936
Breast Cancer,claude-sonnet-37,80.86755233494364,0.7483796296296296,9936,9936
Breast Cancer,claude-sonnet-45,62.35909822866345,0.7401188198570133,9936,9936
Breast Cancer,claude-opus-45,67.00885668276972,0.5738346924393436,9936,9936
Melanoma,GDD-ENS,40.08123476848091,0.6424680909829408,6155,6155
Melanoma,gpt-5,53.64744110479285,0.6607733549959381,6155,6155
Melanoma,gpt-4o,33.880499015101776,0.7177216021011161,6155,6092
Melanoma,o3-mini,49.52071486596263,0.8178797725426481,6155,6155
Melanoma,medgemma,6.9374492282697,0.7777579203899267,6155,6155
Melanoma,qwen3,23.919256877456235,0.8985351911396927,6155,5598
Melanoma,qwen3-vl-235b-a22b,39.90251827782291,0.7541689683184403,6155,6155
