cancer_type,model,f1,mean_prob,n_samples,n_valid
Non-Small Cell Lung Cancer,GDD-ENS,0.7944564325441449,0.7234104169817981,19833,19833
Non-Small Cell Lung Cancer,gpt-5,0.65196261682243,0.6651041193969647,19833,19833
Non-Small Cell Lung Cancer,gpt-4o,0.45793514021619935,0.7059381286193234,19833,19686
Non-Small Cell Lung Cancer,o3-mini,0.5799083488472003,0.8133555185801441,19833,19833
Non-Small Cell Lung Cancer,medgemma,0.39252715188847465,0.7829249231079514,19833,19833
Non-Small Cell Lung Cancer,qwen3,0.3561270943821279,0.8874675955004853,19833,17513
Non-Small Cell Lung Cancer,qwen3-vl-235b-a22b,0.3914841849148418,0.7269908737961982,19833,19833
Non-Small Cell Lung Cancer,deepseek,0.2323343021870682,0.768488867324384,19833,18549
Non-Small Cell Lung Cancer,deepseek-r1,0.5829522720777365,0.6909085866989362,19833,19833
Non-Small Cell Lung Cancer,claude-sonnet-37,0.5740374591077398,0.6878644546417226,19833,19833
Non-Small Cell Lung Cancer,claude-sonnet-45,0.5203118588428396,0.6755146650512394,19833,19833
Non-Small Cell Lung Cancer,claude-opus-45,0.6415288194801192,0.5446774274905423,19833,19833
Colorectal Cancer,GDD-ENS,0.7835541343079031,0.7553291722998348,13314,13314
Colorectal Cancer,gpt-5,0.8410515320334261,0.7382972810575334,13314,13314
Colorectal Cancer,gpt-4o,0.7619539689995304,0.750330829349723,13314,13179
Colorectal Cancer,o3-mini,0.8216656341269138,0.8551472134595162,13314,13314
Colorectal Cancer,medgemma,0.6162240814841761,0.8162235241099592,13314,13314
Colorectal Cancer,qwen3,0.5152467196451672,0.8966691560866318,13314,12051
Colorectal Cancer,qwen3-vl-235b-a22b,0.7941855726124168,0.7751239296980622,13314,13314
Colorectal Cancer,deepseek,0.6410973936899863,0.771783897278527,13314,12383
Colorectal Cancer,deepseek-r1,0.8242151278315009,0.7233145561063542,13314,13314
Colorectal Cancer,claude-sonnet-37,0.8443209930124561,0.7543896025843286,13314,13314
Colorectal Cancer,claude-sonnet-45,0.8477715274772825,0.7597220135236663,13314,13314
Colorectal Cancer,claude-opus-45,0.8572164284794644,0.6267177637511272,13314,13314
Glioma,GDD-ENS,0.7135135135135136,0.6970187045604759,10591,10591
Glioma,gpt-5,0.7007299270072993,0.7035303559626098,10591,10591
Glioma,gpt-4o,0.5388478169898173,0.729127446300716,10591,10475
Glioma,o3-mini,0.6317421355209611,0.8437465772825984,10591,10591
Glioma,medgemma,0.03724981467753892,0.7756208101218016,10591,10591
Glioma,qwen3,0.6041941633670627,0.9018281151502416,10591,9518
Glioma,qwen3-vl-235b-a22b,0.4160622149106408,0.7468152204702105,10591,10591
Glioma,deepseek,0.28748580909964194,0.775135135135135,10591,9805
Glioma,deepseek-r1,0.4990079365079365,0.7315475403644605,10591,10591
Glioma,claude-sonnet-37,0.6580081094779524,0.7319346615050515,10591,10591
Glioma,claude-sonnet-45,0.7087295781516704,0.7391262411347518,10591,10591
Glioma,claude-opus-45,0.6694723618090452,0.564092970521542,10591,10591
Breast Cancer,GDD-ENS,0.8114832535885167,0.7193322966988728,9936,9936
Breast Cancer,gpt-5,0.7307913393370378,0.6618216586151369,9936,9936
Breast Cancer,gpt-4o,0.8949899351375531,0.755422528084202,9936,9881
Breast Cancer,o3-mini,0.8587181254307374,0.834121376811594,9936,9936
Breast Cancer,medgemma,0.5239545420782886,0.8207125603864733,9936,9936
Breast Cancer,qwen3,0.5096711798839458,0.9039097988319272,9936,9246
Breast Cancer,qwen3-vl-235b-a22b,0.7415616490405927,0.7685889694041868,9936,9936
Breast Cancer,deepseek,0.7535248041775456,0.8382069543359865,9936,9548
Breast Cancer,deepseek-r1,0.6697014325880305,0.7053240740740742,9936,9936
Breast Cancer,claude-sonnet-37,0.8942184630794057,0.7483796296296296,9936,9936
Breast Cancer,claude-sonnet-45,0.768162658070915,0.7401188198570133,9936,9936
Breast Cancer,claude-opus-45,0.8024587200192841,0.5738346924393436,9936,9936
Melanoma,GDD-ENS,0.5722570169334261,0.6424680909829408,6155,6155
Melanoma,gpt-5,0.6983187057206303,0.6607733549959381,6155,6155
Melanoma,gpt-4o,0.5061304561059343,0.7177216021011161,6155,6092
Melanoma,o3-mini,0.6623926980332501,0.8178797725426481,6155,6155
Melanoma,medgemma,0.1297477970221817,0.7777579203899267,6155,6155
Melanoma,qwen3,0.38604584114170387,0.8985351911396927,6155,5598
Melanoma,qwen3-vl-235b-a22b,0.5704331668795727,0.7541689683184403,6155,6155
Melanoma,deepseek,0.5196768308574408,0.7511355633802816,6155,5680
Melanoma,deepseek-r1,0.6258093324402768,0.6738732737611697,6155,6155
Melanoma,claude-sonnet-37,0.751774487933482,0.7189387290752477,6155,6155
Melanoma,claude-sonnet-45,0.6522881541493322,0.6744339468968888,6155,6155
Melanoma,claude-opus-45,0.7413087934560327,0.5275800422558101,6155,6155
Pancreatic Cancer,GDD-ENS,0.8470763026636953,0.7799320324005893,5432,5432
Pancreatic Cancer,gpt-5,0.7821993050106492,0.6821097201767305,5432,5432
Pancreatic Cancer,gpt-4o,0.2501218125710573,0.7169129385557825,5432,5387
Pancreatic Cancer,o3-mini,0.6144624410151767,0.8063935935198822,5432,5432
Pancreatic Cancer,medgemma,0.012440541529454811,0.7856590574374077,5432,5432
Pancreatic Cancer,qwen3,0.08393802706413023,0.8844933469805527,5432,4885
Pancreatic Cancer,qwen3-vl-235b-a22b,0.31409062693978895,0.7469114506627393,5432,5432
Pancreatic Cancer,deepseek,0.1408349758107866,0.7740458750963762,5432,5188
Pancreatic Cancer,deepseek-r1,0.6325991189427312,0.6795342415316642,5432,5432
Pancreatic Cancer,claude-sonnet-37,0.6643717728055077,0.6929920824894127,5432,5432
Pancreatic Cancer,claude-sonnet-45,0.7280177965109472,0.6938441701970897,5432,5432
Pancreatic Cancer,claude-opus-45,0.8011476495254911,0.5112391824709999,5432,5432
Ovarian Cancer,GDD-ENS,0.4695148443157133,0.5650023088569266,5284,5284
Ovarian Cancer,gpt-5,0.4699580136093817,0.5910446631339894,5284,5284
Ovarian Cancer,gpt-4o,0.1825726141078838,0.7083923135464232,5284,5256
Ovarian Cancer,o3-mini,0.44175759363019756,0.7934784254352762,5284,5284
Ovarian Cancer,medgemma,0.7530383480825958,0.7894303557910675,5284,5284
Ovarian Cancer,qwen3,0.6927619832440599,0.8938684597604539,5284,4759
Ovarian Cancer,qwen3-vl-235b-a22b,0.5730488792870645,0.7235143830431491,5284,5284
Ovarian Cancer,deepseek,0.4171191312679655,0.8284705407586763,5284,4956
Ovarian Cancer,deepseek-r1,0.5065008479366874,0.661041075146697,5284,5284
Ovarian Cancer,claude-sonnet-37,0.19473864024598564,0.6589875094625284,5284,5284
Ovarian Cancer,claude-sonnet-45,0.5703463203463204,0.6567341915940931,5284,5284
Ovarian Cancer,claude-opus-45,0.5635449232023922,0.43463927286498766,5284,5284
Endometrial Cancer,GDD-ENS,0.8191410313568139,0.7457430908633274,3973,3973
Endometrial Cancer,gpt-5,0.7266025641025641,0.6646086081047067,3973,3973
Endometrial Cancer,gpt-4o,0.4580003897875658,0.7241506572295248,3973,3956
Endometrial Cancer,o3-mini,0.6472591079332652,0.8188925245406493,3973,3973
Endometrial Cancer,medgemma,0.4651342476337647,0.7901837402466649,3973,3973
Endometrial Cancer,qwen3,0.4816573154941735,0.9001478112563956,3973,3518
Endometrial Cancer,qwen3-vl-235b-a22b,0.7504324579336373,0.759434935816763,3973,3973
Endometrial Cancer,deepseek,0.2754296330701347,0.8326151360086184,3973,3713
Endometrial Cancer,deepseek-r1,0.8367735324257063,0.733662219984898,3973,3973
Endometrial Cancer,claude-sonnet-37,0.6769896769896769,0.7326629750818021,3973,3973
Endometrial Cancer,claude-sonnet-45,0.7357199681782021,0.7413063176440977,3973,3973
Endometrial Cancer,claude-opus-45,0.739930225182366,0.5404282115869018,3973,3973
Esophagogastric Cancer,GDD-ENS,0.4245122985581001,0.5489768506056527,3715,3715
Esophagogastric Cancer,gpt-5,0.23263558515699334,0.5966244952893675,3715,3715
Esophagogastric Cancer,gpt-4o,0.01185025585779693,0.6716933080465998,3715,3691
Esophagogastric Cancer,o3-mini,0.0462792532211412,0.7937658142664873,3715,3715
