model,accuracy,top2_accuracy,f1,precision,recall,n_samples
GDD-ENS,54.676965882227044,65.85498730433599,0.5702280089322173,0.6361295864624023,0.5467696588222705,102791
gpt-5,48.055763636894284,59.727018902433095,0.4876365202244846,0.5229411172788534,0.48055763636894283,102791
claude-opus-45,48.025605354554386,59.715344728624096,0.4650065979390396,0.4933311444769641,0.48025605354554385,102791
claude-sonnet-37,44.18480217139633,56.33858995437344,0.413287685314569,0.45280157165670176,0.44184802171396326,102791
o3-mini,43.41625239563775,55.177982508196244,0.42180767284218207,0.4716103664781308,0.4341625239563775,102791
claude-sonnet-45,43.10591394188207,52.6826278565244,0.409847678167031,0.4574517523146967,0.43105913941882074,102791
deepseek-r1,40.50743742156415,52.17674699146813,0.4035437351336728,0.4567377188624861,0.40507437421564146,102791
gpt-4o,34.681253614877114,47.081139899420634,0.3209337446770079,0.37918969269370506,0.34681253614877117,102009
qwen3-vl-235b-a22b,33.44164372367231,43.49699876448327,0.31057805104313624,0.37803421679319765,0.33441643723672304,102791
qwen3,25.343096370273287,34.766737795301175,0.2564219545040043,0.3473295122282347,0.2534309637027329,92321
deepseek,24.005287095531987,34.28181884412435,0.22888945184163853,0.36265395969751785,0.24005287095531988,96083
medgemma,20.901635357181075,28.09779066260665,0.19326087748248877,0.32187038496189546,0.20901635357181075,102791
