cancer_type,model,recall,mean_prob,n_samples,n_valid
Non-Small Cell Lung Cancer,GDD-ENS,0.6590026723138204,0.7234104169817981,19833,19833
Non-Small Cell Lung Cancer,gpt-5,0.4836383804769828,0.6651041193969647,19833,19833
Non-Small Cell Lung Cancer,gpt-4o,0.29696230823935793,0.7059381286193234,19833,19686
Non-Small Cell Lung Cancer,o3-mini,0.40835980436645997,0.8133555185801441,19833,19833
Non-Small Cell Lung Cancer,medgemma,0.24418897796601624,0.7829249231079514,19833,19833
Non-Small Cell Lung Cancer,qwen3,0.21663906812082454,0.8874675955004853,19833,17513
Non-Small Cell Lung Cancer,qwen3-vl-235b-a22b,0.2433822417183482,0.7269908737961982,19833,19833
Non-Small Cell Lung Cancer,deepseek,0.13143565690872824,0.768488867324384,19833,18549
Non-Small Cell Lung Cancer,deepseek-r1,0.41138506529521507,0.6909085866989362,19833,19833
Non-Small Cell Lung Cancer,claude-sonnet-37,0.40256138758634596,0.6878644546417226,19833,19833
Non-Small Cell Lung Cancer,claude-sonnet-45,0.35163616195230174,0.6755146650512394,19833,19833
Non-Small Cell Lung Cancer,claude-opus-45,0.47224323097867194,0.5446774274905423,19833,19833
Colorectal Cancer,GDD-ENS,0.644133994291723,0.7553291722998348,13314,13314
Colorectal Cancer,gpt-5,0.7257022682890191,0.7382972810575334,13314,13314
Colorectal Cancer,gpt-4o,0.6154488200925715,0.750330829349723,13314,13179
Colorectal Cancer,o3-mini,0.69731110109659,0.8551472134595162,13314,13314
Colorectal Cancer,medgemma,0.44532071503680337,0.8162235241099592,13314,13314
Colorectal Cancer,qwen3,0.347025143141648,0.8966691560866318,13314,12051
Colorectal Cancer,qwen3-vl-235b-a22b,0.6586300135196034,0.7751239296980622,13314,13314
Colorectal Cancer,deepseek,0.471775821691028,0.771783897278527,13314,12383
Colorectal Cancer,deepseek-r1,0.7009914375844976,0.7233145561063542,13314,13314
Colorectal Cancer,claude-sonnet-37,0.7305843473035902,0.7543896025843286,13314,13314
Colorectal Cancer,claude-sonnet-45,0.7357668619498272,0.7597220135236663,13314,13314
Colorectal Cancer,claude-opus-45,0.7501126633618748,0.6267177637511272,13314,13314
Glioma,GDD-ENS,0.5546218487394958,0.6970187045604759,10591,10591
Glioma,gpt-5,0.5393258426966292,0.7035303559626098,10591,10591
Glioma,gpt-4o,0.36878281622911696,0.729127446300716,10591,10475
Glioma,o3-mini,0.4617127749976395,0.8437465772825984,10591,10591
Glioma,medgemma,0.018978377868001134,0.7756208101218016,10591,10591
Glioma,qwen3,0.4328640470687119,0.9018281151502416,10591,9518
Glioma,qwen3-vl-235b-a22b,0.26267585685959777,0.7468152204702105,10591,10591
Glioma,deepseek,0.16787353391126977,0.775135135135135,10591,9805
Glioma,deepseek-r1,0.33245208195637804,0.7315475403644605,10591,10591
Glioma,claude-sonnet-37,0.49032197148522333,0.7319346615050515,10591,10591
Glioma,claude-sonnet-45,0.5488622415258239,0.7391262411347518,10591,10591
Glioma,claude-opus-45,0.5031630629780002,0.564092970521542,10591,10591
Breast Cancer,GDD-ENS,0.6827697262479872,0.7193322966988728,9936,9936
Breast Cancer,gpt-5,0.5757850241545893,0.6618216586151369,9936,9936
Breast Cancer,gpt-4o,0.8099382653577573,0.755422528084202,9936,9881
Breast Cancer,o3-mini,0.7524154589371981,0.834121376811594,9936,9936
Breast Cancer,medgemma,0.3549718196457327,0.8207125603864733,9936,9936
Breast Cancer,qwen3,0.3419857235561324,0.9039097988319272,9936,9246
Breast Cancer,qwen3-vl-235b-a22b,0.5892713365539453,0.7685889694041868,9936,9936
Breast Cancer,deepseek,0.6045245077503142,0.8382069543359865,9936,9548
Breast Cancer,deepseek-r1,0.5034219001610306,0.7053240740740742,9936,9936
Breast Cancer,claude-sonnet-37,0.8086755233494364,0.7483796296296296,9936,9936
Breast Cancer,claude-sonnet-45,0.6235909822866345,0.7401188198570133,9936,9936
Breast Cancer,claude-opus-45,0.6700885668276972,0.5738346924393436,9936,9936
Melanoma,GDD-ENS,0.4008123476848091,0.6424680909829408,6155,6155
Melanoma,gpt-5,0.5364744110479285,0.6607733549959381,6155,6155
Melanoma,gpt-4o,0.3388049901510177,0.7177216021011161,6155,6092
Melanoma,o3-mini,0.49520714865962634,0.8178797725426481,6155,6155
Melanoma,medgemma,0.069374492282697,0.7777579203899267,6155,6155
Melanoma,qwen3,0.23919256877456235,0.8985351911396927,6155,5598
Melanoma,qwen3-vl-235b-a22b,0.39902518277822907,0.7541689683184403,6155,6155
Melanoma,deepseek,0.351056338028169,0.7511355633802816,6155,5680
Melanoma,deepseek-r1,0.4554021121039805,0.6738732737611697,6155,6155
Melanoma,claude-sonnet-37,0.6022745735174655,0.7189387290752477,6155,6155
Melanoma,claude-sonnet-45,0.4839967506092608,0.6744339468968888,6155,6155
Melanoma,claude-opus-45,0.5889520714865962,0.5275800422558101,6155,6155
Pancreatic Cancer,GDD-ENS,0.7347201767304861,0.7799320324005893,5432,5432
Pancreatic Cancer,gpt-5,0.6423048600883653,0.6821097201767305,5432,5432
Pancreatic Cancer,gpt-4o,0.14293669946166698,0.7169129385557825,5432,5387
Pancreatic Cancer,o3-mini,0.44348306332842413,0.8063935935198822,5432,5432
Pancreatic Cancer,medgemma,0.0062592047128129605,0.7856590574374077,5432,5432
Pancreatic Cancer,qwen3,0.04380757420675537,0.8844933469805527,5432,4885
Pancreatic Cancer,qwen3-vl-235b-a22b,0.18630338733431517,0.7469114506627393,5432,5432
Pancreatic Cancer,deepseek,0.07575173477255204,0.7740458750963762,5432,5188
Pancreatic Cancer,deepseek-r1,0.46262886597938147,0.6795342415316642,5432,5432
Pancreatic Cancer,claude-sonnet-37,0.49742268041237114,0.6929920824894127,5432,5432
Pancreatic Cancer,claude-sonnet-45,0.5723490427098674,0.6938441701970897,5432,5432
Pancreatic Cancer,claude-opus-45,0.6682621502209131,0.5112391824709999,5432,5432
Ovarian Cancer,GDD-ENS,0.306775170325511,0.5650023088569266,5284,5284
Ovarian Cancer,gpt-5,0.3071536714610144,0.5910446631339894,5284,5284
Ovarian Cancer,gpt-4o,0.1004566210045662,0.7083923135464232,5284,5256
Ovarian Cancer,o3-mini,0.2834973504920515,0.7934784254352762,5284,5284
Ovarian Cancer,medgemma,0.6038985616956851,0.7894303557910675,5284,5284
Ovarian Cancer,qwen3,0.5299432653918891,0.8938684597604539,5284,4759
Ovarian Cancer,qwen3-vl-235b-a22b,0.4015897047691143,0.7235143830431491,5284,5284
Ovarian Cancer,deepseek,0.2635189669087974,0.8284705407586763,5284,4956
Ovarian Cancer,deepseek-r1,0.33913701741105223,0.661041075146697,5284,5284
Ovarian Cancer,claude-sonnet-37,0.10787282361847085,0.6589875094625284,5284,5284
Ovarian Cancer,claude-sonnet-45,0.39894019682059045,0.6567341915940931,5284,5284
Ovarian Cancer,claude-opus-45,0.39231642694928087,0.43463927286498766,5284,5284
Endometrial Cancer,GDD-ENS,0.6936823559023408,0.7457430908633274,3973,3973
Endometrial Cancer,gpt-5,0.5706015605336018,0.6646086081047067,3973,3973
Endometrial Cancer,gpt-4o,0.2970171890798787,0.7241506572295248,3973,3956
Endometrial Cancer,o3-mini,0.47847973823307327,0.8188925245406493,3973,3973
Endometrial Cancer,medgemma,0.3030455575132142,0.7901837402466649,3973,3973
Endometrial Cancer,qwen3,0.3172256964184196,0.9001478112563956,3973,3518
Endometrial Cancer,qwen3-vl-235b-a22b,0.6005537377296754,0.759434935816763,3973,3973
Endometrial Cancer,deepseek,0.15970913008349044,0.8326151360086184,3973,3713
Endometrial Cancer,deepseek-r1,0.7193556506418324,0.733662219984898,3973,3973
Endometrial Cancer,claude-sonnet-37,0.5117040020135918,0.7326629750818021,3973,3973
Endometrial Cancer,claude-sonnet-45,0.5819280140951422,0.7413063176440977,3973,3973
Endometrial Cancer,claude-opus-45,0.587213692423861,0.5404282115869018,3973,3973
Esophagogastric Cancer,GDD-ENS,0.26944818304172274,0.5489768506056527,3715,3715
Esophagogastric Cancer,gpt-5,0.131628532974428,0.5966244952893675,3715,3715
Esophagogastric Cancer,gpt-4o,0.005960444324031428,0.6716933080465998,3715,3691
Esophagogastric Cancer,o3-mini,0.023687752355316286,0.7937658142664873,3715,3715
Esophagogastric Cancer,medgemma,0.00026917900403768504,0.7714535666218034,3715,3715
Esophagogastric Cancer,qwen3,0.0,0.8915046644598252,3715,3323
Esophagogastric Cancer,qwen3-vl-235b-a22b,0.009690444145356662,0.7046301480484523,3715,3715
Esophagogastric Cancer,deepseek,0.0011477761836441894,0.7161406025824962,3715,3485
Esophagogastric Cancer,deepseek-r1,0.06675639300134589,0.6487806191117093,3715,3715
Esophagogastric Cancer,claude-sonnet-37,0.01857335127860027,0.6269771197846568,3715,3715
Esophagogastric Cancer,claude-sonnet-45,0.05464333781965007,0.635302049622438,3715,3715
Esophagogastric Cancer,claude-opus-45,0.12113055181695828,0.42548855989232837,3715,3715
Prostate Cancer,GDD-ENS,0.592217135382603,0.6777977763243951,3058,3058
Prostate Cancer,gpt-5,0.44015696533682147,0.6516988227599739,3058,3058
Prostate Cancer,gpt-4o,0.6,0.6927907742998353,3058,3035
Prostate Cancer,o3-mini,0.513080444735121,0.8308011772400262,3058,3058
Prostate Cancer,medgemma,0.18214519293655984,0.7730869849574885,3058,3058
Prostate Cancer,qwen3,0.5265109380793475,0.8954690396737115,3058,2697
Prostate Cancer,qwen3-vl-235b-a22b,0.49313276651406146,0.7145192936559843,3058,3058
Prostate Cancer,deepseek,0.40449826989619375,0.7143079584775086,3058,2890
Prostate Cancer,deepseek-r1,0.40614780902550685,0.7015238718116417,3058,3058
Prostate Cancer,claude-sonnet-37,0.5137344669718771,0.6764551994767822,3058,3058
Prostate Cancer,claude-sonnet-45,0.3973185088293002,0.669455737704918,3058,3058
Prostate Cancer,claude-opus-45,0.3629823413996076,0.4969555264879006,3058,3058
Bladder Cancer,GDD-ENS,0.596201195919803,0.70432353148083,2843,2843
Bladder Cancer,gpt-5,0.3781217024270137,0.6498241294407316,2843,2843
Bladder Cancer,gpt-4o,0.26954368588609834,0.681913689423417,2843,2827
Bladder Cancer,o3-mini,0.26837847344354554,0.8192085824832922,2843,2843
Bladder Cancer,medgemma,0.005627857896588111,0.7586352444600772,2843,2843
Bladder Cancer,qwen3,0.06125760649087221,0.8925679513184583,2843,2465
Bladder Cancer,qwen3-vl-235b-a22b,0.1452690819556806,0.7301477312697854,2843,2843
Bladder Cancer,deepseek,0.1289004457652303,0.738632986627043,2843,2692
Bladder Cancer,deepseek-r1,0.29862820963770664,0.6951248680970805,2843,2843
Bladder Cancer,claude-sonnet-37,0.30742173760112557,0.6803024973619416,2843,2843
Bladder Cancer,claude-sonnet-45,0.2434048540274358,0.6833509700176367,2843,2843
Bladder Cancer,claude-opus-45,0.4407316215265564,0.4851864883884588,2843,2843
Soft Tissue Sarcoma,GDD-ENS,0.4838328075709779,0.591594597791798,2536,2536
Soft Tissue Sarcoma,gpt-5,0.13446372239747634,0.6057413249211356,2536,2536
Soft Tissue Sarcoma,gpt-4o,0.04069537732121691,0.6856538917423942,2536,2531
Soft Tissue Sarcoma,o3-mini,0.08635646687697161,0.8055599369085173,2536,2536
Soft Tissue Sarcoma,medgemma,0.15457413249211358,0.7760055205047318,2536,2536
Soft Tissue Sarcoma,qwen3,0.04827280779450841,0.8941718334809566,2536,2258
Soft Tissue Sarcoma,qwen3-vl-235b-a22b,0.10646687697160884,0.7141719242902208,2536,2536
Soft Tissue Sarcoma,deepseek,0.045006429489927134,0.7685169309901414,2536,2333
Soft Tissue Sarcoma,deepseek-r1,0.13722397476340695,0.6634384858044164,2536,2536
Soft Tissue Sarcoma,claude-sonnet-37,0.05402208201892744,0.6400236593059937,2536,2536
Soft Tissue Sarcoma,claude-sonnet-45,0.09621451104100946,0.6400355450236966,2536,2536
Soft Tissue Sarcoma,claude-opus-45,0.1305205047318612,0.4249842146803473,2536,2536
Hepatobiliary Cancer,GDD-ENS,0.17049180327868851,0.5700988114754098,2440,2440
Hepatobiliary Cancer,gpt-5,0.09508196721311475,0.6099590163934426,2440,2440
Hepatobiliary Cancer,gpt-4o,0.009921455146754857,0.684510128152129,2440,2419
Hepatobiliary Cancer,o3-mini,0.05081967213114754,0.8000245901639345,2440,2440
Hepatobiliary Cancer,medgemma,0.002459016393442623,0.7853688524590163,2440,2440
Hepatobiliary Cancer,qwen3,0.007380073800738007,0.8895341328413283,2440,2168
Hepatobiliary Cancer,qwen3-vl-235b-a22b,0.01639344262295082,0.7165081967213115,2440,2440
Hepatobiliary Cancer,deepseek,0.0013186813186813187,0.7455824175824176,2440,2275
Hepatobiliary Cancer,deepseek-r1,0.036065573770491806,0.6657745901639344,2440,2440
Hepatobiliary Cancer,claude-sonnet-37,0.04672131147540984,0.6621762295081968,2440,2440
Hepatobiliary Cancer,claude-sonnet-45,0.06311475409836066,0.658700495049505,2440,2440
Hepatobiliary Cancer,claude-opus-45,0.08811475409836066,0.4700861008610086,2440,2440
Thyroid Cancer,GDD-ENS,0.556629092860977,0.6240452495974236,1863,1863
Thyroid Cancer,gpt-5,0.3333333333333333,0.6180515297906601,1863,1863
Thyroid Cancer,gpt-4o,0.10221741481882099,0.7121092482422932,1863,1849
Thyroid Cancer,o3-mini,0.20719269994632314,0.8093344068706387,1863,1863
Thyroid Cancer,medgemma,0.016639828234031134,0.7991411701556628,1863,1863
Thyroid Cancer,qwen3,0.01386481802426343,0.8906065857885614,1863,1731
Thyroid Cancer,qwen3-vl-235b-a22b,0.03650026838432636,0.7480300590445518,1863,1863
Thyroid Cancer,deepseek,0.05885815185403178,0.7733961153619776,1863,1699
Thyroid Cancer,deepseek-r1,0.14278046162104133,0.6621846484165326,1863,1863
Thyroid Cancer,claude-sonnet-37,0.11808910359634997,0.705077831454643,1863,1863
Thyroid Cancer,claude-sonnet-45,0.12775093934514226,0.6613501882732651,1863,1863
Thyroid Cancer,claude-opus-45,0.18894256575415996,0.486784755770263,1863,1863
Renal Cell Carcinoma,GDD-ENS,0.5244837758112094,0.693889616519174,1695,1695
Renal Cell Carcinoma,gpt-5,0.568731563421829,0.7200589970501475,1695,1695
