Model,N,Accuracy (%),Weighted F1,Weighted Precision,Weighted Recall
Qwen3-30B,34415,89.93,0.8977,0.899,0.8993
MetaCH,34415,89.67,0.8926,0.903,0.8967
DeepSeek-Distill-32B,34415,88.27,0.8784,0.8864,0.8827
Qwen3-235B,34415,86.93,0.8626,0.8769,0.8693
Claude-Opus-4.5,34415,83.57,0.8393,0.8543,0.8357
Claude-Sonnet-4.5,34415,81.15,0.8084,0.808,0.8115
o3-mini,34415,80.03,0.7752,0.8299,0.8003
GPT-5,34415,79.81,0.7778,0.8128,0.7981
GPT-4o,34415,79.68,0.7768,0.8097,0.7968
DeepSeek-R1,34415,78.82,0.7708,0.7921,0.7882
Claude-Sonnet-3.7,34415,78.67,0.7925,0.8572,0.7867
MedGemma-27B,34415,75.5,0.7342,0.7506,0.755
