Model,N,Accuracy (%),Weighted F1,Weighted Precision,Weighted Recall
AlphaMissense,13468,86.61,0.8663,0.8667,0.8661
GPT-5,13468,77.47,0.7802,0.8245,0.7747
o3-mini,13468,75.21,0.7464,0.7456,0.7521
Claude-Opus-4.5,13468,75.14,0.7562,0.7701,0.7514
Claude-Sonnet-3.7,13468,73.11,0.7324,0.7339,0.7311
DeepSeek-R1,13468,69.91,0.6926,0.6901,0.6991
GPT-4o,13468,69.39,0.6999,0.715,0.6939
Qwen3-235B,13468,68.3,0.6533,0.6621,0.683
Claude-Sonnet-4.5,13468,67.73,0.6822,0.6913,0.6773
MedGemma-27B,13468,65.9,0.6169,0.6268,0.659
DeepSeek-Distill-32B,13468,65.84,0.5338,0.6577,0.6584
Qwen3-30B,13468,65.38,0.526,0.5883,0.6538
