Model,N,Accuracy (%),Weighted F1,Weighted Precision,Weighted Recall
GDD-ENS,102791,54.68,0.5702,0.6361,0.5468
GPT-5,102791,48.06,0.4876,0.5229,0.4806
Claude-Opus-4.5,102791,48.03,0.465,0.4933,0.4803
Claude-Sonnet-3.7,102791,44.18,0.4133,0.4528,0.4418
o3-mini,102791,43.42,0.4218,0.4716,0.4342
Claude-Sonnet-4.5,102791,43.11,0.4098,0.4575,0.4311
DeepSeek-R1,102791,40.51,0.4035,0.4567,0.4051
GPT-4o,102009,34.68,0.3209,0.3792,0.3468
Qwen3-235B,102791,33.44,0.3106,0.378,0.3344
Qwen3-30B,92321,25.34,0.2564,0.3473,0.2534
DeepSeek-Distill-32B,96083,24.01,0.2289,0.3627,0.2401
MedGemma-27B,102791,20.9,0.1933,0.3219,0.209
